id	name	price	sales	origin	description	create_time	tag	mainImg	detailImg	classMenu	freight
11	施华洛世奇-恶魔之眼	649	0	法国	这款融入多种镀层的Duo Evil Eye链坠，是由米兰达 可儿（Miranda Kerr）与施华洛世奇携手创作，可为装扮增添神秘点缀。链坠的两枚恶魔之眼装饰分别以密镶蓝色、黑色和透明仿水晶，及镀玫瑰金色金属精心打造，并搭配一条饰有深蓝色仿水晶的镀玫瑰金色饰链。超美腻的水晶吊坠，圆妹纸一个水晶梦！	1520864380046	1	http://img.souche.com/f2e/26d346dd7c9b00fc943a6cca516eeb82.png	["http://img.souche.com/f2e/8287c6e96bbeee0ac91b150260feb31c.jpg","http://img.souche.com/f2e/28dfbcff3e449ca12c12c8347a07cc17.jpg","http://img.souche.com/f2e/d8e5146f5e06719f76d1f1291574ae63.jpg","http://img.souche.com/f2e/13d12027af44638ea97c31384db968ff.jpg","http://img.souche.com/f2e/a8f267af85c06433ec913c44c01d48f1.png","http://img.souche.com/f2e/08062760cfcf93e6f7a3bb36cf5c87bf.jpg","http://img.souche.com/f2e/b52b32b2123997590135a98b01f83258.jpg"]	cz	0
12	 NYX六色修正遮瑕修容盘	135	0	法国	1号 嫩黄色可以轻微提亮深肤色，也可以中和黑眼圈，然后再叠加4号蜜桃色或者5号裸橘色。  2号薄荷绿 可以修正泛红肌肤或者鼻翼嘴角附近还有红肿痘痘痘印。  3号淡紫色 大家都知道紫色可以提亮黄色肌肤，基本上就是做T区，C区或者嘴角打亮之用。  4 蜜桃色，也是三文鱼色，特别适合一般亚洲人黑眼圈的颜色修正，好用没话说。  5 裸橘色，带有橘色感的裸色，可以做一般遮瑕之用，也可以与1、4两个色相互结合调色用来遮黑眼圈。  6棕色，基本用作脸部的阴影修容。	1523187470026	1	https://img.souche.com/f2e/c4a8cc5d731577aa522fdec2328a8867.png	["https://img.alicdn.com/imgextra/i1/2549841410/TB2jX3XXL_HK1JjSsziXXagrVXa_!!2549841410.jpg","https://img.alicdn.com/imgextra/i4/2549841410/TB22NgbXTzGK1JjSspjXXcHWXXa_!!2549841410.jpg","https://img.alicdn.com/imgextra/i2/2549841410/TB2EPMbXL_HK1JjSszhXXacIVXa_!!2549841410.jpg","https://img.alicdn.com/imgextra/i1/2549841410/TB2p7ZXXIrHK1Jjy1zjXXanYVXa_!!2549841410.jpg","https://img.alicdn.com/imgextra/i2/2549841410/TB2Nx0FXlcHL1JjSZJiXXcKcpXa_!!2549841410.jpg","https://img.alicdn.com/imgextra/i3/2549841410/TB29lIaXMvGK1Jjy0FgXXX9hFXa_!!2549841410.jpg",""]	cz	0
14	雅漾防晒喷雾	178	0	法国	雅漾防晒喷雾 自用款 ¥178包邮	1523188426405	1	http://img.souche.com/f2e/ad031e30cb58c801e362b75a46798d9b.png	["https://img.alicdn.com/imgextra/i2/3243743397/TB2Rxz8aCMmBKNjSZTEXXasKpXa_!!3243743397.jpg","https://img.alicdn.com/imgextra/i2/3243743397/TB28EqSdoR1BeNjy0FmXXb0wVXa_!!3243743397.jpg","https://img.alicdn.com/imgextra/i4/3243743397/TB2RedEdXOWBuNjy0FiXXXFxVXa_!!3243743397.jpg"]	cz	0
15	阿玛尼气垫BB	529	0	法国	自用款 最好用的气垫bb，特推款阿玛尼水滴形粉扑，断货款2号色！！啦啦啦～～～质地非常滋润且薄，不厚重不卡纹，遮瑕能力很好能完美遮毛孔红血丝痘印黑眼圈等等，奶油肌质感，折扣价529¥ 看见其他同行的价格真的是心疼自己 基本550-599漂浮	1523193561281	0	https://img.souche.com/f2e/085da49b9330419f0d43a7ed73dabdb3.png	["https://img.alicdn.com/imgextra/i1/3527212490/TB214mTeuuSBuNjSsplXXbe8pXa_!!3527212490.jpg","https://img.alicdn.com/imgextra/i3/3527212490/TB2UrcIeCtYBeNjSspkXXbU8VXa_!!3527212490.jpg","https://img.alicdn.com/imgextra/i4/3527212490/TB28gPqerSYBuNjSspfXXcZCpXa_!!3527212490.jpg","https://img.alicdn.com/imgextra/i1/3527212490/TB2uq1_ev5TBuNjSspcXXbnGFXa_!!3527212490.jpg"]	cz	0
16	纪梵希散粉1号	365	0	法国	¥365包邮 天热了，一定要把散粉用起来，不然油光满面真的很尴尬天气渐渐热起来 ，定妆也是必备 纪梵希散粉1号 真的炒鸡控油持妆 墙裂推荐   10个买散粉的人里 9个买纪梵希纪梵希四宫格散粉 好用到几乎全世界的女人都知道它 一款同时拥有四种颜色的散粉 粉超细致 比一般的散粉小一千倍 一盒超耐用 打5层都看不出厚重	1523421123906	1	https://img.souche.com/f2e/6ceab4eac30beab6b0dfdd02ce7e216f.png	["https://img.alicdn.com/imgextra/i4/2827689859/TB2jcm4iKuSBuNjSsplXXbe8pXa_!!2827689859.jpg","https://img.alicdn.com/imgextra/i1/2827689859/TB2oqDgiFuWBuNjSszbXXcS7FXa_!!2827689859.jpg","https://img.alicdn.com/imgextra/i3/2827689859/TB2vBKWiMmTBuNjy1XbXXaMrVXa_!!2827689859.jpg","https://img.alicdn.com/imgextra/i2/2827689859/TB2hOwSchuTBuNkHFNRXXc9qpXa_!!2827689859.jpg","https://img.alicdn.com/imgextra/i1/2827689859/TB2dp_IiKOSBuNjy0FdXXbDnVXa_!!2827689859.jpg","https://img.alicdn.com/imgextra/i1/2827689859/TB2yWbIiKOSBuNjy0FdXXbDnVXa_!!2827689859.jpg","https://img.alicdn.com/imgextra/i1/2827689859/TB2hdo7ck7mBKNjSZFyXXbydFXa_!!2827689859.jpg","https://img.alicdn.com/imgextra/i4/2827689859/TB22RHUiQSWBuNjSszdXXbeSpXa_!!2827689859.jpg"]	cz	0
17	菲洛嘉 逆时光面霜50ml	380	0	法国	法国FILORGA菲洛嘉Time Fille 逆时光面霜 逆龄面霜50ml（油性肌肤适用 mat哑光版）380包邮。50ml极致抗皱使用3天后，川字纹将减少19%。使用28天后，所有类型的皱纹都将出现明显的减少：鱼尾纹减少37%，川字纹减少39%，抬头纹减少30%。每天早晨适用于彻底清洁过的面部、眼睛周围、颈部和前胸，通过按摩使产品渗入皮肤！	1523421646815	1	https://img.souche.com/f2e/0d4fab029beeb7af5c5d261633830154.png	["https://img.alicdn.com/imgextra/i2/15239872/TB2FsYajgfH8KJjy1zcXXcTzpXa_!!15239872.jpg","https://img.alicdn.com/imgextra/i3/15239872/TB2DOZ0hQfb_uJjSsrbXXb6bVXa_!!15239872.jpg","https://img.alicdn.com/imgextra/i2/15239872/TB256bkjgDD8KJjy0FdXXcjvXXa_!!15239872.jpg","https://img.alicdn.com/imgextra/i3/15239872/TB23MO8jf6H8KJjy0FjXXaXepXa_!!15239872.jpg","https://img.alicdn.com/imgextra/i1/15239872/TB2vMOSjgnH8KJjSspcXXb3QFXa_!!15239872.jpg"]	hf	0
18	puma糖果鞋	519	0	法国	老有人问我运动品牌[捂脸] 出来卖个便宜的puma糖果鞋吧[捂脸] 519全包 下单备注颜色 尺码 鞋码大小自己掂量 可以去国内puma店试试 [捂脸] 我不知如何建议[捂脸]	1523422046380	1	http://img.souche.com/f2e/72831dcbd24cd8c6e19b7705155cd5ae.png	["http://img.souche.com/f2e/0f5f056959ad040f8adc52c89d70c9db.jpeg","http://img.souche.com/f2e/226b9b4a2a50d47089764225b6200678.jpeg","http://img.souche.com/f2e/c419d43cce541c6bd58ebb50638b6faf.jpeg","http://img.souche.com/f2e/5429ebf592b936a6512d189aa9a2251c.jpeg"]	fz	0
19	法国regilait瑞记奶粉	109	0	法国	奶粉已经到了～还有11盒，法国regilait瑞记奶粉，法国销量最好的成人奶粉，这款是脱脂奶粉，减肥期间推荐这款！ 瑞记是法国很有名的奶粉品牌，全家人都能喝~ 适合4岁以上，都可以喝。用法，将25g奶粉兑200ml不高于40ml的温水，搅匀即可饮用。香香甜甜温温暖暖！109一盒，两盒包邮！全家人一起喝	1523448095445	0	http://img.souche.com/f2e/1900087d4d07fb94486469e56d51024a.png	["http://img.souche.com/f2e/0f81b4aa51df7277e790fd11a4b76f0a.jpeg","http://img.souche.com/f2e/3eabd0f464176d18cec9e48c0f27a2dc.jpeg","http://img.souche.com/f2e/f43707e4cdbece991e85b9ecb5861a8c.jpeg","http://img.souche.com/f2e/07a4ddfdab908134bfb9bd0f75ed40ad.jpeg"]	sp	8
20	YSL 圣罗兰 明彩无瑕 羽毛粉底液 25ml	419	0	法国	ysl羽毛粉底液.419 清薄细腻持久。ysl家的东西不多说了。小红书卖475。快来买。夏天到了需要一款细腻持久不油腻的粉底	1523453055553	0	http://img.souche.com/f2e/1f80b86353a1a82ce62bddc1090a9a1b.png	["https://img.alicdn.com/imgextra/i1/106191836/TB2n7CRapOWBuNjy0FiXXXFxVXa_!!106191836.jpg","https://img.alicdn.com/imgextra/i4/106191836/TB2B5WNaxSYBuNjSsphXXbGvVXa_!!106191836.jpg","https://img.alicdn.com/imgextra/i2/106191836/TB2gA1NaxSYBuNjSsphXXbGvVXa_!!106191836.jpg"]	cz	0
21	范冰冰同款 法国大宝	158	0	法国	像我这么时尚的人，很早就发现TA了，哈哈哈哈！各种大牌时装秀，美妆博主视频里，名模明星的化妆台上，都能轻而易举的发现这款妆前乳，俗称“干皮亲妈”！当初是一个明星的化妆师从法国带回来送我的，说用了以后妆容会更加服帖不会脱妆，一支就相当于隔离霜+妆前乳+保湿霜。拿到手以后我仔细的研究了下包装盒上的说明，原来这玩意除了当妆前乳，还能当卸妆霜、修护面膜、须后膏和婴儿护肤霜，这。。。不就是法国版大宝嘛！听起来是有种一支在手，天下我有的感觉。	1523454080837	0	http://img.souche.com/f2e/2bdf9e01b46732117800661a2a88653d.png	["http://5b0988e595225.cdn.sohucs.com/images/20171012/33bf99aedc0f4f18a542613d062fb415.jpeg","http://5b0988e595225.cdn.sohucs.com/images/20171012/200e8f53642246ad92e43ddc852677fb.jpeg","http://haitao.nosdn1.127.net/1bm1hiv2542_750_6326.jpg?imageView&quality=98&crop=0_3500_750_500&imageView&thumbnail=710x0&quality=85"]	hf	0
22	MAKE UP FOR EVER/玫珂菲 水粉霜	319	0	法国	MAKE UP FOR EVER/玫珂菲 全新双用水粉霜 保湿遮瑕持久裸妆 难以想象的轻薄 自然通透裸妆 防水	1523454693890	0	http://img.souche.com/f2e/e093b75fce3966f73c0ade36bb25fbcb.png	["https://img.alicdn.com/imgextra/i1/2500428739/TB2S6FrobwTMeJjSszfXXXbtFXa_!!2500428739.jpg","https://img.alicdn.com/imgextra/i4/2500428739/TB2YROqeVuWBuNjSspnXXX1NVXa_!!2500428739.jpg","https://img.alicdn.com/imgextra/i3/2500428739/TB25dfVcsLJ8KJjy0FnXXcFDpXa_!!2500428739.jpg","https://img.alicdn.com/imgextra/i3/2500428739/TB26Jgwj6qhSKJjSspnXXc79XXa_!!2500428739.jpg"]	cz	0
